id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired,label_name
,1001,1176,23,,,,,,,,Biotin (B7)
,1001,1005,15,,,,,,,,Carbohydrate (g)
,1001,1178,108,,,,,,,,Cobalamin (B12)
,1001,1008,335.8,,,,,,,,Energy
,1001,1062,1407,,,,,,,,Energy (kj)
,1001,1258,1,,,,,,,,Fat Saturated (g)
,1001,1085,5,,,,,,,,Fat Total (g)
,1001,1186,2150,,,,,,,,Folic acid (B9)
,1001,1167,266,,,,,,,,Niacin (B3)
,1001,1167,99,,,,,,,,Pantothenic acid (B5)
,1001,1003,47,,,,,,,,Protein (g)
,1001,1171,23,,,,,,,,Pyridoxine (B6)
,1001,1166,55,,,,,,,,Riboflavin (B2)
,1001,1093,60,,,,,,,,Sodium (mg)
,1001,2000,0,,,,,,,,Sugars (g)
,1001,1165,14,,,,,,,,Thiamine HCl (B1)
,1002,1005,1,,,,,,,,Carbohydrate (g)
,1002,1008,392.1,,,,,,,,Energy (Kcal)
,1002,1062,1643,,,,,,,,Energy (kj)
,1002,1258,1.6,,,,,,,,Fat Saturated (g)
,1002,1085,7.5,,,,,,,,Fat Total (g)
,1002,1079,4.2,,,,,,,,Fibre (g)
,1002,1212,3.0525,,,,,,,,Isoleucine
,1002,1213,5.445,,,,,,,,Leucine
,1002,1214,4.0425,,,,,,,,Lysine
,1002,1215,0.66,,,,,,,,Methionine
,1002,1217,3.5475,,,,,,,,Phenylalanine
,1002,1003,82.5,,,,,,,,Protein (g)
,1002,1093,943,,,,,,,,Sodium (mg)
,1002,2000,0.1,,,,,,,,Sugars (g)
,1002,1211,2.3925,,,,,,,,Threonine
,1002,1210,0.495,,,,,,,,Tryptophan
,1002,1219,3.2175,,,,,,,,Valine